UserID,ItemID,Rating
1,1,"3,8"
1,2,"3,6"
1,3,4
1,4,4
1,5,"3,4"
1,6,5
1,7,4
1,8,4
1,9,"3,4"
1,10,"3,4"
1,11,"3,4"
1,12,"3,2"
1,13,"2,8"
1,14,"3,4"
1,15,"2,2"
1,16,3
1,17,"2,8"
1,18,"3,2"
1,19,"3,4"
1,20,"2,6"
1,21,"3,2"
1,22,"3,4"
1,23,"3,6"
1,24,"3,4"
1,25,"2,6"
1,26,"3,2"
1,27,"2,8"
2,1,"3,6"
2,2,"2,4"
2,3,4
2,4,"4,2"
2,5,"2,2"
2,6,5
2,7,"3,6"
2,8,"3,2"
2,9,"3,8"
2,10,"3,6"
2,11,"4,2"
2,12,3
2,13,"2,2"
2,14,"4,4"
2,15,"2,6"
2,16,"3,6"
2,17,"2,4"
2,18,"2,4"
2,19,3
2,20,"2,4"
2,21,"3,4"
2,22,"3,8"
2,23,"3,2"
2,24,3
2,25,"2,4"
2,26,"3,8"
2,27,"2,2"
3,1,4
3,2,"4,2"
3,3,"4,2"
3,4,"4,2"
3,5,4
3,6,"4,6"
3,7,"4,2"
3,8,"3,8"
3,9,4
3,10,4
3,11,"4,2"
3,12,"3,8"
3,13,"3,6"
3,14,"4,2"
3,15,4
3,16,"3,8"
3,17,4
3,18,"3,6"
3,19,"4,2"
3,20,"3,8"
3,21,"4,2"
3,22,"4,2"
3,23,"3,6"
3,24,"4,2"
3,25,"3,8"
3,26,4
3,27,"4,2"
4,1,4
4,2,3
4,3,4
4,4,"3,8"
4,5,"4,2"
4,6,5
4,7,"4,6"
4,8,"4,2"
4,9,"4,2"
4,10,"4,2"
4,11,4
4,12,"3,4"
4,13,"3,4"
4,14,"4,2"
4,15,4
4,16,"4,6"
4,17,"4,2"
4,18,"3,4"
4,19,"4,2"
4,20,"3,2"
4,21,"3,8"
4,22,"3,4"
4,23,4
4,24,"4,2"
4,25,"3,4"
4,26,"3,6"
4,27,"3,2"
5,1,"3,2"
5,2,"2,8"
5,3,"3,6"
5,4,"3,6"
5,5,"3,4"
5,6,"3,4"
5,7,"2,6"
5,8,"3,6"
5,9,"3,4"
5,10,"3,6"
5,11,3
5,12,"3,4"
5,13,"3,4"
5,14,"3,4"
5,15,"2,6"
5,16,3
5,17,"3,8"
5,18,4
5,19,3
5,20,"3,2"
5,21,"3,2"
5,22,"3,2"
5,23,3
5,24,"3,6"
5,25,"2,8"
5,26,"2,6"
5,27,"3,4"
6,1,5
6,2,"3,8"
6,3,"3,6"
6,4,4
6,5,4
6,6,4
6,7,"4,4"
6,8,"4,2"
6,9,"4,6"
6,10,4
6,11,4
6,12,4
6,13,5
6,14,4
6,15,"4,2"
6,16,4
6,17,4
6,18,"4,6"
6,19,"4,6"
6,20,4
6,21,"3,6"
6,22,"4,2"
6,23,"4,4"
6,24,4
6,25,"4,2"
6,26,4
6,27,4
7,1,"3,6"
7,2,"4,2"
7,3,4
7,4,"4,8"
7,5,"3,8"
7,6,5
7,7,5
7,8,5
7,9,5
7,10,5
7,11,5
7,12,5
7,13,4
7,14,5
7,15,5
7,16,5
7,17,"3,6"
7,18,5
7,19,5
7,20,"4,4"
7,21,5
7,22,5
7,23,5
7,24,5
7,25,5
7,26,5
7,27,5
8,1,4
8,2,"2,8"
8,3,"4,4"
8,4,"3,6"
8,5,"3,4"
8,6,5
8,7,"3,6"
8,8,"4,2"
8,9,"3,4"
8,10,"3,8"
8,11,"3,6"
8,12,"3,4"
8,13,"3,6"
8,14,"3,6"
8,15,"3,4"
8,16,"3,2"
8,17,"3,4"
8,18,"4,4"
8,19,"3,8"
8,20,"3,4"
8,21,"3,8"
8,22,"3,4"
8,23,"3,8"
8,24,"4,4"
8,25,"3,8"
8,26,"3,8"
8,27,"3,6"
9,1,4
9,2,"3,6"
9,3,"4,2"
9,4,"3,8"
9,5,"4,2"
9,6,"4,8"
9,7,5
9,8,"4,2"
9,9,"4,6"
9,10,"4,2"
9,11,"4,4"
9,12,"4,2"
9,13,"3,4"
9,14,5
9,15,"3,8"
9,16,4
9,17,"3,6"
9,18,"3,6"
9,19,3
9,20,"3,6"
9,21,"3,6"
9,22,"3,4"
9,23,"4,2"
9,24,"3,4"
9,25,"3,8"
9,26,"3,2"
9,27,4
10,1,"4,2"
10,2,3
10,3,"4,4"
10,4,"4,4"
10,5,"4,2"
10,6,"3,8"
10,7,"4,2"
10,8,"4,2"
10,9,4
10,10,"4,2"
10,11,4
10,12,"3,8"
10,13,"3,2"
10,14,"3,8"
10,15,"3,4"
10,16,"3,4"
10,17,3
10,18,"3,6"
10,19,"3,8"
10,20,"3,6"
10,21,4
10,22,"3,8"
10,23,"4,2"
10,24,"3,6"
10,25,"4,4"
10,26,"4,2"
10,27,4
11,1,"4,6"
11,2,"4,2"
11,3,4
11,4,"4,8"
11,5,"4,4"
11,6,5
11,7,"4,8"
11,8,5
11,9,"4,6"
11,10,"3,6"
11,11,"4,4"
11,12,"4,8"
11,13,"4,8"
11,14,"4,2"
11,15,5
11,16,"3,8"
11,17,"4,6"
11,18,"3,6"
11,19,"4,6"
11,20,"4,4"
11,21,4
11,22,"4,4"
11,23,"4,6"
11,24,"4,4"
11,25,4
11,26,"4,6"
11,27,"4,6"
12,1,"3,2"
12,2,"2,2"
12,3,4
12,4,"2,2"
12,5,"2,4"
12,6,"3,2"
12,7,"2,6"
12,8,"3,2"
12,9,"2,8"
12,10,"3,6"
12,11,"3,6"
12,12,"3,4"
12,13,"4,2"
12,14,4
12,15,"3,2"
12,16,3
12,17,"3,2"
12,18,"3,2"
12,19,"3,6"
12,20,"2,2"
12,21,"3,2"
12,22,"4,6"
12,23,"2,8"
12,24,"3,2"
12,25,"2,6"
12,26,"3,8"
12,27,"3,4"
13,1,"4,4"
13,2,"4,8"
13,3,5
13,4,5
13,5,"3,8"
13,6,1
13,7,"4,2"
13,8,"3,6"
13,9,"3,8"
13,10,"3,8"
13,11,"3,8"
13,12,"4,2"
13,13,4
13,14,"3,4"
13,15,"2,4"
13,16,"3,8"
13,17,"3,4"
13,18,1
13,19,"3,4"
13,20,4
13,21,"3,4"
13,22,"3,6"
13,23,"4,4"
13,24,1
13,25,"3,8"
13,26,4
13,27,4
14,1,"3,6"
14,2,4
14,3,"3,6"
14,4,"3,6"
14,5,"3,6"
14,6,"3,4"
14,7,"3,6"
14,8,"3,6"
14,9,"3,4"
14,10,"3,8"
14,11,"3,6"
14,12,"3,6"
14,13,"3,4"
14,14,"3,2"
14,15,"3,4"
14,16,"3,2"
14,17,3
14,18,"3,2"
14,19,"3,4"
14,20,"3,4"
14,21,"3,4"
14,22,"3,2"
14,23,"3,4"
14,24,"3,4"
14,25,"3,8"
14,26,"3,6"
14,27,"3,4"
15,1,"4,4"
15,2,"4,2"
15,3,"4,2"
15,4,"3,8"
15,5,"4,6"
15,6,5
15,7,"4,2"
15,8,"4,6"
15,9,"4,6"
15,10,"4,4"
15,11,"3,8"
15,12,4
15,13,4
15,14,"3,6"
15,15,"4,6"
15,16,"4,4"
15,17,"3,8"
15,18,"3,4"
15,19,"3,6"
15,20,"4,2"
15,21,"3,6"
15,22,"4,4"
